City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,antofagasta,-23.65,-70.4,21.6,71,11,3.54,CL,1711741489
192,fang,19.9169,99.2145,22.38,39,0,0.98,TH,1711741841
193,barrouallie,13.2333,-61.2667,30.79,58,40,4.63,VC,1711741841
194,ouro preto do oeste,-10.7481,-62.2158,25.02,96,100,1.44,BR,1711741608
195,harar,9.3094,42.1258,18.15,77,29,1.19,ET,1711741842
196,mandasa,18.8667,84.4667,26.36,65,1,3.82,IN,1711741843
197,alo,7.4178,6.7371,31.73,58,100,4.24,NG,1711741844
198,kingscliff,-28.2667,153.5667,22.07,89,100,3.09,AU,1711741844
199,maloye ganyushkino,46.6,49.2667,6.48,56,98,3.95,KZ,1711741845
200,nueva ocotepeque,14.4333,-89.1833,29.0,45,20,6.17,HN,1711741736
201,kabo,7.6994,18.629,30.11,24,82,2.48,CF,1711741846
202,baud,20.8333,84.3167,29.55,40,3,1.06,IN,1711741846
203,licheng,23.2955,113.8284,23.92,79,0,1.63,CN,1711741847
204,bonhill,55.9794,-4.5638,7.55,90,40,1.54,GB,1711741848
205,perry,37.2506,-83.1999,22.1,36,10,5.57,US,1711741849
206,brooksville,28.5553,-82.3879,26.55,32,0,3.09,US,1711741672
207,kayangel,8.0823,134.7173,27.92,80,59,7.59,PW,1711741849
208,whakatane,-37.9585,176.9854,14.87,66,21,5.28,NZ,1711741850
209,angaur state,6.906,134.13,27.89,79,73,7.91,PW,1711741851
210,pisco,-13.7,-76.2167,25.03,83,20,4.63,PE,1711741851
211,taoudenni,22.6783,-3.9836,29.41,14,95,4.54,ML,1711741852
212,timimoun,29.2639,0.231,25.21,10,0,9.26,DZ,1711741852
213,lambarene,-0.7001,10.2406,25.65,94,98,1.45,GA,1711741853
214,kirkwood,38.5834,-90.4068,24.87,32,75,7.2,US,1711741854
215,kokopo,-4.352,152.2633,25.19,91,97,2.37,PG,1711741855
216,punta arenas,-53.15,-70.9167,6.06,70,40,12.86,CL,1711741264
217,onega,63.9061,38.1404,-1.26,91,100,3.79,RU,1711741856
218,boshkengash,38.4661,68.8053,8.19,93,100,4.0,TJ,1711741856
219,belle fourche,44.6714,-103.8522,11.39,36,99,5.76,US,1711741857
220,alaghsas,17.0187,8.0168,31.87,5,10,3.97,NE,1711741857
221,taulaga,-11.0553,-171.0883,29.22,76,89,4.78,AS,1711741858
222,bethanie,-26.4833,17.15,25.6,33,18,4.7,NA,1711741859
223,bikenibeu village,1.3673,173.1241,27.9,83,55,7.25,KI,1711741859
224,khawr fakkan,25.3313,56.342,24.03,68,0,3.72,AE,1711741860
225,tual,-5.6667,132.75,26.64,84,100,3.95,ID,1711741860
226,kiruna,67.8557,20.2251,-7.49,79,100,1.54,SE,1711741861
227,nova sintra,14.8667,-24.7167,19.73,73,19,4.38,CV,1711741861
228,west fargo,46.875,-96.9004,4.0,45,100,5.14,US,1711741862
229,malmyzh,56.5205,50.6818,2.23,92,85,5.71,RU,1711741862
230,gopalpur,19.2667,84.9167,27.08,67,0,6.57,IN,1711741863
231,kailua-kona,19.6406,-155.9956,25.98,84,100,4.12,US,1711741582
232,happy valley-goose bay,53.3168,-60.3315,2.17,87,75,8.23,CA,1711741864
233,nikolayevsk-on-amure,53.1406,140.73,-0.85,97,100,3.24,RU,1711741865
234,usinsk,65.9939,57.5281,-5.59,87,89,7.17,RU,1711741865
235,alofi,-19.0595,-169.9187,26.94,89,20,3.09,NU,1711741865
236,saint-pierre,-21.3393,55.4781,24.82,78,0,1.54,RE,1711741866
237,namtsy,62.7161,129.6658,-23.11,87,43,4.53,RU,1711741866
238,badger,64.8,-147.5333,4.1,62,0,4.63,US,1711741867
239,colachel,8.1667,77.25,26.82,86,48,0.71,IN,1711741867
240,sangueya,10.7,-14.3667,26.02,59,100,3.23,GN,1711741868
241,duba,27.3513,35.6901,23.54,59,0,4.44,SA,1711741869
242,ulladulla,-35.35,150.4667,16.54,88,0,1.33,AU,1711741869
243,boende,-0.2167,20.8667,26.48,62,33,1.05,CD,1711741869
244,fortaleza,-3.7227,-38.5247,31.07,74,75,6.69,BR,1711741585
245,tazovsky,67.4667,78.7,-8.33,95,100,5.23,RU,1711741870
246,pamandzi,-12.7967,45.2794,28.88,79,0,4.12,YT,1711741871
247,illizi,26.4833,8.4667,27.89,6,0,2.56,DZ,1711741871
248,alice springs,-23.7,133.8833,19.75,88,7,0.0,AU,1711741872
249,zykovo,55.9519,93.1461,3.41,91,100,5.88,RU,1711741873
250,san luis de la loma,17.2706,-100.8939,30.94,43,98,4.61,MX,1711741873
251,coahuayana de hidalgo,18.7,-103.6583,31.06,41,89,3.14,MX,1711741874
252,pombas,17.1503,-25.0201,22.88,68,86,5.74,CV,1711741875
253,chui,-33.6971,-53.4616,24.77,74,46,3.22,UY,1711741875
254,puerto armuelles,8.2833,-82.8667,32.99,62,85,4.47,PA,1711741876
255,zaozersk,69.4005,32.4476,-10.79,94,33,1.84,RU,1711741876
256,brisas de zicatela,15.8369,-97.0419,28.29,74,0,2.57,MX,1711741877
257,eleskirt,39.8033,42.6736,1.04,78,100,1.91,TR,1711741877
258,tokmok,42.8417,75.3016,7.44,93,100,2.77,KG,1711741878
259,sanctuary point,-35.1114,150.629,15.18,91,2,1.72,AU,1711741878
260,fort mcmurray,56.7268,-111.381,-5.27,63,100,4.12,CA,1711741617
261,mount pearl,47.5166,-52.7813,13.19,93,100,5.14,CA,1711741879
262,waupaca,44.358,-89.086,10.52,36,0,2.57,US,1711741880
263,erandol,20.9167,75.3333,29.35,38,6,2.27,IN,1711741881
264,hudiksvall,61.729,17.1036,0.8,95,100,1.2,SE,1711741881
265,kingston,17.997,-76.7936,30.65,60,20,6.17,JM,1711741456
266,alta,69.9689,23.2717,-3.41,74,75,2.57,NO,1711741883
267,huangnihe,43.5583,128.0239,-4.48,43,0,7.57,CN,1711741883
268,gaiman,-43.2897,-65.4929,22.15,10,19,15.3,AR,1711741884
269,tomatlan,19.9333,-105.25,32.33,30,47,3.99,MX,1711741885
270,chonchi,-42.6128,-73.8092,14.56,68,42,3.02,CL,1711741644
271,college,64.8569,-147.8028,4.15,61,20,4.63,US,1711741886
272,vila velha,-20.3297,-40.2925,29.97,85,20,3.6,BR,1711741886
273,cooma,-36.2333,149.1333,10.02,76,0,0.74,AU,1711741887
274,yokadouma,3.5167,15.05,26.28,47,94,0.71,CM,1711741887
275,altai,46.3722,96.2583,2.13,40,58,3.12,MN,1711741888
276,francistown,-21.17,27.5079,22.87,52,6,5.83,BW,1711741888
277,guatrache,-37.6678,-63.5302,35.3,25,0,6.73,AR,1711741889
278,kristiansund,63.1115,7.732,6.36,87,75,3.09,NO,1711741889
279,guadarrama,40.6727,-4.0895,4.62,54,90,1.31,ES,1711741890
280,ishinomaki,38.4167,141.3,11.73,70,92,6.41,JP,1711741890
281,brookings,44.3114,-96.7984,9.0,61,0,3.09,US,1711741749
282,hamilton,39.1834,-84.5333,21.72,34,0,10.28,US,1711741558
283,krasnyy kholm,58.0607,37.1203,5.73,95,100,5.58,RU,1711741891
284,san angelo,31.4638,-100.437,25.06,45,0,6.17,US,1711741825
285,kerikeri,-35.2268,173.9474,12.69,67,0,2.45,NZ,1711741892
286,weno,7.4515,151.8468,27.97,83,40,4.63,FM,1711741892
287,joinville,-26.3044,-48.8456,28.39,69,40,5.14,BR,1711741629
288,mount isa,-20.7333,139.5,23.87,94,40,2.57,AU,1711741894
289,papatowai,-46.5619,169.4708,10.74,82,100,3.39,NZ,1711741894
290,pailon,-17.65,-62.75,34.82,35,69,3.0,BO,1711741894
291,chibougamau,49.9168,-74.3659,-0.21,55,100,4.12,CA,1711741895
292,tottori,35.5,134.2333,11.27,82,32,4.95,JP,1711741611
293,nadi,-17.8,177.4167,25.0,94,75,0.0,FJ,1711741610
294,quincy,42.2529,-71.0023,10.34,53,100,8.75,US,1711741820
295,kaliua,-5.0606,31.7936,20.29,90,99,1.4,TZ,1711741897
296,san ignacio,17.1561,-89.0714,30.08,51,0,3.09,BZ,1711741897
297,korgan,40.8247,37.3467,11.73,71,50,3.16,TR,1711741898
298,sao vicente,-23.9631,-46.3919,30.15,57,40,1.03,BR,1711741847
299,inhambane,-23.865,35.3833,23.99,83,20,2.68,MZ,1711741899
300,san pedro pochutla,15.7333,-96.4667,32.61,44,0,4.05,MX,1711741809
301,kalifornsky,60.4183,-151.29,2.19,84,20,6.69,US,1711741900
302,natal,-5.795,-35.2094,30.36,94,75,5.14,BR,1711741396
303,galle,6.0367,80.217,25.99,83,31,1.94,LK,1711741663
304,hauterive,46.0901,3.4459,11.42,70,100,2.35,FR,1711741901
305,la passe,45.5549,-0.8967,9.43,94,100,4.1,FR,1711741902
306,palikir - national government center,6.9248,158.1611,27.47,78,100,7.2,FM,1711741902
